Sample_ID,Easting_ING,Northing_ING,Na2O_%_XRFS,MgO_%_XRFS,Al2O3_%_XRFS,SiO2_%_XRFS,P2O5_%_XRFS,S_mgkg_XRFS,Cl_mgkg_XRFS,K2O_%_XRFS,CaO_%_XRFS,TiO2_%_XRFS,MnO_%_XRFS,Fe2O3_%_XRFS,Sc_mgkg_XRFS,V_mgkg_XRFS,Cr_mgkg_XRFS,Co_mgkg_XRFS,Ni_mgkg_XRFS,Cu_mgkg_XRFS,Zn_mgkg_XRFS,Ga_mgkg_XRFS,Ge_mgkg_XRFS,As_mgkg_XRFS,Se_mgkg_XRFS,Br_mgkg_XRFS,Rb_mgkg_XRFS,Sr_mgkg_XRFS,Y_mgkg_XRFS,Zr_mgkg_XRFS,Nb_mgkg_XRFS,Mo_mgkg_XRFS,Nd_mgkg_XRFS,Sm_mgkg_XRFS,Yb_mgkg_XRFS,Hf_mgkg_XRFS,Ta_mgkg_XRFS,W_mgkg_XRFS,Hg_mgkg_XRFS,Tl_mgkg_XRFS,Pb_mgkg_XRFS,Bi_mgkg_XRFS,Th_mgkg_XRFS,U_mgkg_XRFS,Ag_mgkg_XRFS,Cd_mgkg_XRFS,In_mgkg_XRFS,Sn_mgkg_XRFS,Sb_mgkg_XRFS,Te_mgkg_XRFS,I_mgkg_XRFS,Cs_mgkg_XRFS,Ba_mgkg_XRFS,La_mgkg_XRFS,Ce_mgkg_XRFS,Au_µgkg_FA_ICPMS,Pd_µgkg_FA_ICPMS,Pt_µgkg_FA_ICPMS
601798C,118489,338977,2.1,1.7,12.4,64.1,0.25,368,100,3.483,3.06,0.69,0.194,5.96,10.7,65.2,81,20.21,29.9,17.03,96.3,13.5,1,6.5,0.7,14.1,110.8,157.9,23.5,877.9,13.2,0.7,31.9,2.8,2.31,25.5,0.5,1.2,1.25,0.5,26.5,1.1,10.9,3.7,0.25,0.3,0.25,4,0.5,0.2,17.9,3,587,33,67,0.5,0.25,0.38
601799C,79566,305428,1.8,1.5,11.8,64.4,0.49,872,100,2.701,1.36,1.032,0.084,6.58,12.3,83.9,57.5,14.26,17.7,18.44,64.3,14.7,0.9,9.4,0.5,17.4,85.7,185.3,40.7,2000,19,1.4,46.6,6.5,7.05,70.7,0.9,3.5,1.25,0.3,22.3,1.8,19.3,5,0.25,0.25,0.25,2,0.6,0.25,9.9,2,724,44,88,1.4,0.25,0.37
601800C,96576,317284,0.8,0.2,3.5,47.4,0.17,5644,36,1.021,1.46,0.34,0.02,4.49,5.8,48.7,23.7,4.1,3.6,4.61,15.9,3.8,0.7,34.1,1.2,31.1,25.7,67.4,34.3,822.8,6.7,4,16.3,3.9,2.2,24.3,0.6,2.6,1.25,0.6,6.5,0.7,4.4,3.8,0.25,0.25,0.25,0.6,0.5,0.25,4.7,2,303,14,30,3.9,0.25,0.05
601801C,117999,335138,1.9,1.4,9.8,57.7,0.3,4671,1636,2.805,1.43,0.625,0.065,5.35,5.1,57.7,51.5,12.32,21,17.13,97,11.4,0.8,7.9,1,116.1,87.8,132.1,24.3,562.2,11.3,1.6,26,5.5,2.77,16,0.5,1.8,1.25,1,41.7,0.6,9.2,3.6,0.25,0.9,0.25,15.4,0.8,0.25,23.7,4,442,25,52,1.4,0.25,0.18
601802C,76988,320536,0.9,1.8,8.4,33,0.15,34039.1,1544,2.283,0.91,0.567,0.06,6.93,9.4,98.7,48.2,10.59,21.1,12.08,59.3,11.8,0.3,28.4,1.6,281.2,88.2,105.2,24.1,186.9,11.5,2.9,28,4.7,1.73,5.2,0.5,2,1.25,1.5,23.6,0.15,7.6,3.8,0.4,0.25,0.25,1.5,0.8,0.25,111.6,3,366,30,59,0.5,0.25,0.49
601804C,116438,333092,2.7,0.8,11.1,65.6,0.27,495,100,3.64,4.32,0.585,0.223,3.5,6.1,36.6,44.6,11.56,11.4,8.85,49.8,10,0.8,3.1,0.3,6.3,90.7,186.8,23.3,930.2,10.5,0.4,21.5,3.4,3.7,26.1,0.9,2.2,1.25,1,21.4,0.7,9.2,4.1,0.25,0.25,0.25,1.6,0.4,0.25,3.2,2,708,24,49,0.5,0.25,0.23
601806C,118620,328443,0.5,0.8,4.7,42.5,0.14,2385,100,1.104,17.6,0.41,0.044,2.18,7.8,42.1,62.4,7.45,20.4,10.26,46.9,6,0.3,4,2,27.2,32.1,376.8,16.5,570.9,7,1.4,16.1,3.7,2.43,15.6,0.7,1.4,1.25,0.6,7.9,0.1,3.3,2.8,0.25,1.1,0.25,1,0.5,0.25,7.5,2,189,16,32,0.5,0.25,0.34
601808C,110723,332855,1.5,1.1,8.2,65.2,0.16,387,100,2.283,6.15,0.624,0.159,3.9,6.8,59.8,86.6,9.29,15.9,12.18,50.4,9.3,0.8,5,0.8,37.8,66.5,176.9,20.1,1217.4,11,0.8,20.7,3.2,3.12,34.6,0.5,2.2,1.25,0.8,18.2,0.8,7.8,4.2,0.25,0.2,0.25,1.5,0.4,0.3,9.4,2,463,23,47,0.5,0.25,0.36
601809C,113102,324489,0.6,1.2,4.2,50.1,0.13,1788,100,1.104,14.4,0.429,0.036,1.71,9.4,29.8,58.3,3.67,12.9,9.05,36.7,4.4,0.25,3.2,1.3,18,31,352.4,13.8,928.9,7.4,0.5,15.4,2.5,1.96,26.9,0.4,0.9,1.25,0.25,7.8,0.2,6.7,3.6,0.25,0.25,0.25,1.5,0.5,0.1,5.4,1,206,13,28,0.5,0.25,0.13
601810C,118410,326098,0.4,3.4,5.1,36.3,0.05,6969,100,1.136,21.84,0.35,0.021,3.52,5.9,34.8,45.4,5.83,26.3,9.15,35.6,5.1,0.25,5.3,0.6,1.8,32.3,373.9,12.5,231.7,5.9,4.9,11.2,4.4,1.85,7.4,0.5,0.3,1.25,0.5,8.3,0.1,4.7,4.6,0.3,0.5,0.25,1.5,0.9,0.25,0.7,2,171,15,29,1.8,0.25,0.73
601811C,80274,313332,2.1,0.8,9,62.1,0.39,933,100,1.908,1.49,0.699,0.069,4.49,8.9,41.9,28.1,4.32,7.2,6.63,39,10,0.5,5.9,0.4,24.9,54.2,181,26.7,874.4,13.8,0.3,18.7,2.3,4.39,25.2,0.9,2.4,1.25,0.8,14.6,0.4,7.8,3.1,0.25,0.25,0.25,1.7,0.7,0.25,4,2,499,17,38,0.5,0.25,0.32
601813C,113708,328358,0.7,1.4,4.7,44.1,0.06,581,100,1.292,18.56,0.287,0.03,1.5,7.6,24.1,27.4,3.13,9.8,6.63,20,5.1,0.3,2.6,0.6,1.6,36.9,408.7,10.1,189.2,5,0.7,9.1,1.7,0.35,5.2,0.5,0.6,1.25,0.25,8.9,0.7,2.3,2.9,0.25,0.1,0.3,0.9,0.7,0.25,1,2,207,11,22,1.6,0.25,0.23
601814C,110278,332743,1.6,1.7,12.1,61.7,0.21,505,100,3.243,1.52,0.641,0.457,7.18,8.3,71.7,55.9,16.31,26,14.5,96.8,13.9,0.6,10.4,0.5,53.3,111.7,119,18.5,343.4,12.4,1.4,31.7,4.4,2.54,11.2,0.8,1.8,1.25,0.4,25.8,0.1,8.8,2.9,0.3,0.1,0.25,1.7,0.6,0.25,12.4,3,678,32,69,3.3,0.25,0.16
601816C,96235,335375,0.6,0.5,5.3,22.7,0.29,953,100,1.939,1.19,0.416,0.768,22.16,2.9,38.7,20,10.48,15.5,9.66,116.9,6.7,0.4,28.7,1.4,26.6,55.6,84.2,24,530.7,8.5,4.3,36.3,1.5,0.69,15.5,0.5,0.3,1.25,0.25,10.7,2,5,2.1,0.5,0.2,0.25,1.7,1.1,0.25,11.6,2,855,28,65,0.5,0.25,0.17
601818C,110245,335536,2.7,0.5,9.9,84.7,0.12,170,100,2.732,0.49,0.658,0.038,2.12,5.9,34.1,62.3,5.4,8.2,7.24,34.2,8.3,0.8,3.8,0.2,5.4,69.7,115.7,18.6,1229.2,12.4,0.7,16.3,4.1,4.16,34.7,0.8,2.5,1.25,0.6,17.4,0.8,7.9,4.2,0.25,0.25,0.25,1.3,0.4,0.25,1.9,2,526,19,39,0.5,0.25,0.05
601819C,100617,331908,2.1,1.2,10.6,57.2,0.22,844,25,2.983,1.15,0.598,0.273,6.97,7.3,57.3,43.3,12.75,14.8,8.65,64.6,11.1,0.3,16.5,0.9,28.5,87.2,115.4,26,736,12.4,0.6,32.4,6.2,3.35,21.2,0.3,1.3,1.25,0.4,29,0.9,9.1,4.4,0.25,0.2,0.25,1.3,0.4,0.25,5.5,2,682,31,63,2.6,0.25,0.05
601820C,118562,327324,0.6,1.3,5.7,48,0.14,3420,100,1.198,14.74,0.369,0.079,3,11.6,33.8,45.6,7.78,17.5,9.66,54.1,6.8,0.25,3.1,1.7,23,37.2,361.3,12.5,300.9,6.5,0.5,12.1,2.9,0.75,8.6,0.8,0.9,1.25,0.25,10.2,0.7,2.9,3.2,0.25,1,0.25,1.3,0.4,0.25,7,2,209,14,27,0.5,0.25,0.23
601821C,114403,329902,1.2,1.2,9.3,49.1,0.18,827,100,2.753,11.65,0.596,0.193,4.85,12.4,52.5,51.1,11.45,18.7,11.07,50.8,11.8,0.5,5.1,1,16.7,80.1,273.6,23.7,572.5,10.6,0.8,32.6,2.7,2.31,16.1,0.6,1.5,1.25,0.9,16.9,0.9,8.2,4.2,0.25,0.6,0.25,1.1,0.4,0.1,5.3,3,432,30,60,0.5,0.25,0.31
601822C,119793,331651,1.9,0.7,7.8,63.1,0.08,1456,42,2.951,8.48,0.323,0.021,1.31,6.6,25.4,20.5,3.89,6.2,4.01,24.2,7.9,0.3,3.6,0.2,8.3,76.1,351.4,13.6,358,6.8,2.4,12.8,2,0.35,10.5,0.5,1.2,1.25,0.4,9.6,0.1,3.1,3.2,0.25,0.25,0.2,0.9,0.6,0.2,4.6,3,562,13,27,2.2,0.25,0.16
601823C,117399,326274,0.7,1.6,5.4,51,0.17,1657,100,1.209,12.24,0.391,0.072,2.91,9.2,39.5,49.2,5.18,12.4,7.84,38.6,6,0.6,3.4,1,21.2,35.2,306.1,14,459.3,6.6,0.2,12.7,2,1.27,12.7,0.5,0.8,1.25,0.8,7.8,1,2.6,2.9,0.25,0.2,0.25,1,0.7,0.2,7.7,1,239,15,28,0.5,0.25,0.16
601825C,111196,328079,0.5,1.3,4.1,38.3,0.13,700,100,1.042,19.71,0.38,0.314,4.27,7.8,36.2,46.5,6.16,10,6.53,39.5,5,0.1,8.1,0.7,28.3,29.9,395.6,14.2,582.3,5.4,0.9,17.2,1.5,0.92,16.9,0.5,0.8,1.25,0.25,6.9,1,2.7,3.2,0.25,0.7,0.25,0.5,0.3,0.5,17.9,1,281,15,31,0.5,0.25,0.05
601826C,121791,325527,0.4,3,7.7,39.8,0.18,854,100,1.396,17.58,0.481,0.203,4.99,14.6,72.3,171,18.8,77.3,21.06,64.9,9.4,0.5,6.7,1,16.1,39.2,383.3,13.8,116.6,5.6,1.2,16.3,2.6,0.75,4.2,0.5,0.4,1.25,0.3,6.1,0.4,3.2,2.4,0.1,0.7,0.25,1,0.5,0.25,10.4,2,187,15,28,0.5,0.7,0.93
601827C,123460,326077,0.6,1,5.5,52.3,0.13,1401,100,1.365,9.85,0.441,0.021,1.72,6.8,42.9,45,5.51,21.4,13.7,35.9,6.4,0.2,4,1.5,19.8,41.4,288.2,18.9,357.4,8.2,1.1,18.6,4,0.23,9.8,0.2,1.2,1.25,0.6,10.8,0.4,6,4.2,0.25,0.4,0.25,1.2,0.4,0.25,2.4,2,246,19,37,20.8,0.25,0.29
601828C,106383,323706,0.6,1,4.2,46.8,0.11,616,100,1.042,14.69,0.304,0.188,4.74,5.3,33.8,41.3,3.99,10.7,4.82,38.6,5,0.25,12.6,0.3,30.8,28.8,335.4,12,414.8,5.6,0.7,13.3,0.5,0.35,11.6,0.5,0.2,1.25,0.25,7,0.6,2.2,2.5,0.25,0.25,0.25,0.7,0.6,0.25,11.7,2,264,13,26,0.5,0.25,0.05
601829C,75454,325651,2.9,4.3,15.6,62.7,0.24,249,100,3.546,3,1.092,0.08,5.89,12.6,105.4,74.4,16.21,32.3,22.88,102.9,19,0.7,0.2,0.1,5.5,108.1,369.7,28.9,489.3,19.1,0.8,33.6,5.9,2.08,13.5,0.7,1.6,1.25,0.9,23,0.7,6.2,2.7,0.6,0.25,0.1,2,0.3,0.25,0.9,2,907,37,72,0.5,0.25,0.05
601830C,117510,325835,0.7,1.2,5.7,46.3,0.07,1660,100,1.261,17.34,0.336,0.021,1.51,6.4,31.6,47.1,3.24,12.8,8.25,34.2,7.3,0.6,2.8,0.4,5,37.4,409.7,11.1,230.1,7,0.9,11.4,1.9,0.58,6.7,0.5,0.9,1.25,0.2,5.5,0.2,3.6,2.4,0.25,0.3,0.25,1,0.3,0.25,1.4,2,178,12,24,0.5,0.25,0.05
601831C,84271,322573,1.6,1,8.3,54.5,0.33,545,100,2.294,1.16,0.637,0.686,9.87,4.7,45.9,42.8,15.56,11.6,7.94,101,9.8,0.3,6.1,0.5,33.7,65,110.1,25.8,1184.5,16,0.7,29.1,3.2,3.12,34,0.3,1.4,1.25,1,18.7,1.2,10.1,2.7,0.25,0.2,0.25,3.7,0.5,0.25,10.6,2,710,28,57,0.5,0.25,0.16
601833C,119580,331840,0.7,1.1,6.2,38.4,0.16,2102,100,1.793,13.89,0.428,0.075,2.65,11.6,47.7,42.4,7.45,21.5,11.27,80.5,6.9,0.4,4.9,1.7,47.5,54.3,377.8,19.1,412.5,6.9,1.3,16.1,6.4,0.92,11.6,0.7,1.2,1.25,0.6,11.5,0.6,5.7,3.4,0.25,0.6,0.25,0.6,0.3,0.25,18.7,2,296,20,36,0.5,0.25,0.19
601834C,112215,325835,0.5,1.1,4.2,41.5,0.12,3738,100,1.198,14.83,0.376,0.039,2.95,10.5,36.7,44.6,6.05,24,12.48,39.4,4.4,0.1,8.1,3.9,20,35.7,537.1,15.5,412,6.3,2.3,12.7,1.6,1.5,11.6,0.4,1.3,1.25,0.6,9.1,0.3,2,4.3,0.25,0.5,0.25,0.6,0.6,0.25,5.2,2,243,14,28,0.5,0.25,0.48
601835C,83290,297125,2.3,0.5,9.4,74.6,0.025,429,100,2.774,0.23,0.374,0.286,2.65,4.7,27.4,19.1,3.78,3.7,2.39,18.7,8.7,0.7,2,0.6,25.1,75.8,66.8,15.1,827.1,9.1,0.3,12,4.5,0.81,24.4,1,2.1,1.25,1.2,10.4,0.3,4.4,2.8,0.25,0.25,0.2,1.9,0.6,0.25,6.6,2,585,15,32,0.5,0.25,0.05
601836C,112397,327276,0.5,1.2,3.5,37.3,0.025,439,100,1.052,22.11,0.267,0.02,1.12,7.4,22.1,29.7,3.67,9.2,6.83,21.6,3.2,0.25,0.5,0.4,0.4,26.4,495.4,10.7,219,5,0.5,13.4,2.4,0.58,5.7,0.3,0.5,1.25,0.3,5.7,0.8,3.1,2.4,0.2,0.5,0.5,0.5,0.3,0.25,0.2,2,194,12,22,0.5,0.25,0.05
601837C,108844,334928,1.8,1.8,13.3,52,0.16,508,100,3.89,1.16,0.721,2.704,10.48,10.9,76.6,66.4,41.07,36,17.23,193.8,16,1,34.9,0.3,21.6,127.8,117.8,21.3,374.4,12.3,1.1,39.5,1.5,1.39,10.8,0.5,0.3,1.25,0.25,67.1,1.1,9.3,2.9,0.25,0.1,0.25,1.8,1.8,0.25,13.2,4,2014,37,82,0.5,0.25,0.29
601839C,110920,332475,1.5,1.7,9,61.2,0.23,803,100,2.503,4.74,0.553,0.246,4.31,6,52,60.1,12.42,17.7,12.18,87.9,9.9,0.5,6.8,0.6,43.5,78.4,175.8,16.9,632.4,10.3,0.6,22.6,6.5,1.73,18,0.7,1.5,1.25,0.2,25.5,0.6,7.5,3.2,0.25,0.25,0.1,2.1,1,0.25,11.4,2,599,22,47,1,0.25,0.11
601840C,114339,333705,1.4,1.9,9.4,56.3,0.19,1186,100,2.69,7.53,0.651,0.146,4.67,8.6,63,78.1,13.61,20.5,11.58,78.1,10.2,0.7,6.4,0.6,17.8,80.7,210.4,21.1,1047.6,11.4,0.8,27.7,4.1,1.5,29.4,0.5,1.7,1.25,0.7,23.9,0.8,9.6,4.2,0.25,0.2,0.25,1.6,1.3,0.25,4,2,460,29,57,0.5,0.25,0.6
601841C,62878,318213,2.2,0.4,7.9,65.2,0.15,614,19,1.981,0.95,0.668,0.14,7.24,4.2,43.5,97.7,14.59,5.2,5.22,26.3,9.7,1.2,3.7,0.5,61.6,74,123.8,57,2000,31.1,1.3,33.9,5.2,5.78,72.7,2.8,3.7,1.25,0.5,25.4,2.4,18.7,7.4,0.25,0.25,0.25,4,0.2,0.5,40,1,365,28,66,0.5,0.25,0.16
601842C,117097,327338,1.1,0.9,7,87.7,0.15,1355,100,1.751,0.94,0.587,0.022,1.62,5.3,44.6,66.6,4.86,14.6,10.26,27.3,7.1,0.4,5.7,0.3,6.4,44,84.5,18.1,682.2,10.8,0.3,18.4,3.5,1.96,18.6,0.9,1.9,1.25,1,8.8,0.1,6.2,4.1,0.25,0.3,0.25,0.6,0.6,0.25,0.6,2,306,19,37,0.5,0.25,0.05
601843C,62506,318043,2.7,0.8,10.8,70.8,0.19,722,100,2.711,1.11,0.764,0.084,5.4,9.7,48.7,87.8,9.61,8.3,10.37,71.9,12.9,1.3,3.8,0.6,34.3,108.2,157.3,51.6,1996.5,34,0.9,31.8,5.3,7.28,59.1,3.4,4.1,1.25,0.4,32.2,1.9,17.5,6.6,0.25,0.25,0.25,4.3,0.7,0.25,72.1,3,498,30,65,0.5,0.25,0.15
601845C,114910,328125,0.1,0.3,3.5,22,0.1,14416.56,114,0.53,4.17,0.259,0.008,2.96,6.4,39.5,29.9,7.34,26.1,24.19,50.9,5.2,0.25,11.2,14.4,61.1,16.9,206,17.8,137.1,4.1,1.2,16.1,3.4,2.08,3.8,0.3,1.4,1.25,0.8,8,0.15,2.9,18.5,0.25,2.2,0.25,0.7,0.4,0.25,8.9,2,112,13,25,0.5,0.8,0.98
601846C,112008,324360,0.3,0.4,2.9,26.7,0.1,917,100,0.843,23.57,0.331,0.324,6.14,5.1,33.9,46,9.61,10.6,5.93,33.1,3.8,0.1,11.8,0.9,18.1,25.4,440.3,13,663.5,5.9,1.9,18.6,1.5,1.27,17.9,0.8,0.6,1.25,0.6,7.2,0.8,3.6,2.7,0.25,0.2,0.3,0.3,0.3,0.3,18.2,1,293,15,26,0.5,0.25,2.34
601847C,81340,314656,1.2,1,7.2,39.7,0.17,281,100,2.878,1.42,0.902,0.079,6.82,9.8,71,41.4,9.29,13.5,9.96,51.7,12.3,1.1,6.1,0.4,11.2,79.7,147.7,32.2,1311.2,17.6,0.1,32.8,1.5,4.39,37.6,1.7,2.8,1.25,0.3,18.4,1.3,10,4.2,0.25,0.25,0.25,15.6,0.2,0.25,1.3,3,622,32,60,0.5,0.25,0.58
601848C,112318,327169,0.6,0.7,4.6,37.2,0.06,308,100,1.25,21.61,0.327,0.02,2.06,7.3,28.3,28.9,4.97,15.2,8.55,27.6,4.3,0.4,4.1,0.1,1.6,34,494.7,12.4,166.5,5.4,0.4,13,2.7,0.75,5.9,0.8,0.7,1.25,0.7,7.7,0.2,3.1,2.3,0.25,0.5,0.2,1,0.7,0.25,0.3,2,233,14,27,0.5,0.25,0.22
601849C,116440,334141,1.3,1,11.8,46.6,0.19,467,100,3.661,8.03,0.691,0.306,6.43,14,66.6,54,18.8,26.6,14.6,54.1,15.1,1.4,3.9,0.6,25.9,130,164.9,26.4,390.2,12.6,0.9,38.1,6.4,1.96,11.6,0.6,1.9,1.25,0.5,18.5,0.15,10.3,3.7,0.3,0.1,0.25,1.6,0.6,0.25,14.4,5,587,39,81,0.5,0.25,0.23
601850C,113298,327080,0.8,0.8,4.6,38.5,0.07,363,100,1.198,21.47,0.338,0.024,1.42,9,27.8,37.6,4.1,10.6,6.73,24.8,5.4,0.2,0.8,0.8,1.2,31,508.3,12.3,275.7,5.5,0.7,12.9,1.4,1.5,8.8,1.2,1.1,1.25,0.25,6,0.7,3.9,2.8,0.25,0.1,0.3,0.5,0.5,0.2,0.3,2,195,12,26,0.5,0.25,0.12
601851C,100627,316238,0.15,0.6,1.8,12.7,0.08,7241,603,0.478,3.77,0.152,0.043,3.14,4.7,24.9,14.3,2.91,6.8,5.72,19.3,2.1,0.1,57,2,129.4,13.8,125.4,13.2,160.3,2.4,1,10,3.3,1.62,4.6,0.3,1.4,1.25,1,9.4,0.15,1.7,3.2,0.3,0.2,0.1,0.7,0.4,0.25,13.2,2,439,4,15,0.5,0.25,0.13
601852C,114735,336760,2.1,1.2,8.8,66.9,0.15,296,100,2.732,5.67,0.493,0.251,2.85,8.5,35,50.7,8.86,11.1,4.61,49.4,7.1,0.4,2.8,0.2,7.9,67.6,181.5,18.2,734.3,9.2,0.9,19,4.3,0.35,19.8,0.2,1.8,1.25,0.5,14.2,0.5,7.3,3.5,0.25,0.25,0.25,1.3,0.8,0.25,3.5,2,552,18,38,0.5,0.25,0.22
601853C,87701,337928,3.1,0.9,14.5,80.1,0.13,155,100,4.12,0.58,0.719,0.024,2.1,7.1,40,23.9,7.24,7.4,9.86,28,13.3,0.7,1.1,0.1,0.4,116.3,181.4,28.2,933,17,0.1,30.1,4.4,3,26.7,0.7,3,1.25,1.2,17.8,0.5,8.7,3.5,1.1,0.2,0.25,1.8,0.5,0.2,1.7,3,889,30,62,0.5,0.25,0.24
601854C,115168,330647,2.1,0.8,9.3,68.7,0.19,679,100,3.056,3.46,0.596,0.1,3.33,6.8,37.2,54.2,8.86,10.9,8.04,50.5,9,0.4,4.3,0.3,10.7,74.1,157.3,22.7,1086.4,11.2,0.5,22.5,3.9,2.54,30.4,0.5,2.4,1.25,0.6,14.8,0.5,8.6,4.7,0.25,0.2,0.25,1.7,0.9,0.2,2.5,2,564,19,41,2,0.25,0.1
601855C,86105,321219,1.7,4.8,17.5,56.1,0.22,229,100,3.849,0.73,1.025,0.186,6.99,13.1,90.4,54.4,18.8,18.2,10.16,128.3,22.9,1.1,2.6,0.3,14,142.3,141,51.5,626,30.6,0.4,45.5,9.1,5.43,17.9,1.3,3.6,1.25,1.1,27,0.4,18.6,4.3,0.25,0.25,0.25,3.5,0.5,0.25,5.9,5,798,51,97,0.5,0.25,0.27
601856C,72376,319074,2.3,0.7,10.5,58.9,0.12,597,45,3.598,0.89,0.575,0.044,4.09,6.5,49.3,22.6,4.43,5.9,4.31,21.6,12.3,0.5,1.9,0.4,75.1,111.2,163.4,22.7,1143.2,12.6,0.5,25.7,5.7,2.2,31.5,0.2,2.1,1.25,0.6,20.4,0.7,9.3,2.5,0.25,0.25,0.25,2.1,0.7,0.25,17.5,3,753,24,51,2,0.25,0.05
601857C,123278,326402,0.2,2.8,4.6,31.1,0.08,1732,100,1.031,23.16,0.281,0.043,1.98,7.9,36.1,38.6,5.18,27.6,11.88,27.5,5.4,0.25,3.3,2.1,14.2,30.4,481.5,11.6,169.4,4.3,1.7,11.9,2.7,0.75,5.3,0.3,0.4,1.25,0.25,6.8,0.5,3.9,4.9,0.25,0.25,0.25,0.6,0.6,0.25,3.6,2,122,13,23,0.5,0.25,0.44
601858C,83806,308379,2,1,10,73,0.14,3443,100,2.816,1.18,0.741,0.039,3.82,9.7,74,54.2,23.02,22.9,15.41,41.5,10.7,0.6,8.8,1.1,18.4,83.8,184.9,39,986.5,14.3,1.4,43.8,6.4,6.24,28.3,0.8,3.2,1.25,1,17.1,0.4,11.3,15.4,0.25,0.3,0.25,1.9,0.9,0.25,2.3,2,650,43,85,2.8,0.74,0.37
601860C,110313,334342,1.7,1,9.8,71.2,0.17,329,100,2.523,2.78,0.594,0.188,4.05,5.7,58.6,72.8,8.64,19.8,15.61,68.2,9.5,0.5,6,0.6,37.5,76.5,118.5,21,716.7,10.1,0.8,25.1,5.7,1.5,19.3,0.6,1.8,1.25,0.9,28.4,0.4,8.7,3.4,0.25,0.3,0.2,1.8,0.6,0.25,11,3,455,25,50,0.5,0.25,0.28
601861C,120626,326188,0.5,1.6,6.9,36.8,0.08,908,100,1.344,20.79,0.37,0.037,2.93,6.9,44.6,41.6,4.53,18.8,11.88,38.4,8.7,0.3,1.7,0.7,8.7,49.6,470.7,11.1,126.5,6.5,0.7,14.4,3.5,0.81,4.5,0.5,0.8,1.25,0.5,8.1,0.4,3.4,3.1,0.2,0.4,0.25,1.2,0.6,0.1,3.7,3,185,16,30,0.5,0.25,0.42
601862C,117293,329373,1.2,2,7.5,60.4,0.11,889,100,2.033,10.25,0.535,0.038,2.54,11,51.9,67,6.7,18.4,9.66,33.4,7.1,0.6,5.3,0.4,2.9,54.5,262.8,16.8,455.2,10.1,0.6,18.7,4.6,1.04,12.9,0.3,1.5,1.25,0.4,9.8,0.8,4.8,2.4,0.25,0.25,0.2,0.9,0.5,0.25,0.5,1,385,19,38,84.8,0.25,0.12
601863C,116257,327729,0.7,1.7,4.1,37.4,0.07,668,100,0.958,21.9,0.271,0.024,1.43,7.2,20.8,32.5,3.89,9.3,6.63,26.3,4.2,0.25,1,0.5,1.8,26.8,530.8,10,168.1,4.6,0.2,13,2.1,1.62,5.6,0.6,0.7,1.25,0.2,5.5,1.2,2.2,2.7,0.25,0.4,0.3,0.7,0.6,0.25,0.6,1,201,11,23,1.8,0.25,0.05
601865C,117194,336717,2.2,1.7,13.8,63.4,0.22,516,100,3.765,1.06,0.715,0.539,6.03,8.3,73.4,68.1,25.39,30.8,19.75,299.3,15.1,0.5,6.6,0.5,18,119.7,132.2,20.7,487.6,12.7,1.8,33.6,3.5,1.5,14.2,0.1,1.5,1.25,0.6,66,0.3,10.8,4,0.25,1,0.25,2.5,0.7,0.2,7.6,3,661,32,68,0.5,0.25,0.26
601866C,77251,322786,1.1,0.5,5.4,42.9,0.13,52860.72,74,1.636,0.93,0.437,0.031,8.07,7.8,154.9,42.7,38.58,8,7.44,68.5,6.8,0.8,62.1,0.9,56,43.9,107.4,50.1,764.1,9.6,21.8,34.4,4.6,7.05,21.9,0.5,2.8,1.25,0.3,11.3,0.2,6,2.6,0.2,0.25,0.25,0.9,0.3,0.25,3.8,2,378,30,61,1.8,0.7,0.36
601868C,84036,296813,2.5,0.8,11.2,82.6,0.025,72,100,3.327,0.28,0.585,0.107,3.64,4.2,43.5,25.4,7.13,7.4,4.41,19.7,9.9,0.3,2.1,0.4,22.4,91.9,81.8,22.5,1077.2,12.1,0.5,23.4,4.8,2.2,30.6,0.5,2.5,1.25,1,11.2,0.9,7.9,2.9,0.25,0.25,0.25,1.7,1,0.25,4,3,604,23,49,2.8,0.68,0.11
601869C,113651,281474,0.5,1.8,7.4,42.3,0.08,1739,100,1.95,17.24,0.525,0.055,3.14,15.7,46.6,67.6,8.21,26.4,11.48,40.1,8.6,0.3,4,0.7,9.4,65,177.6,19.7,205.9,9.6,0.5,24.7,3.8,0.75,5.7,0.5,1.5,1.25,0.3,11.9,0.2,6.2,2.7,0.1,0.25,0.2,0.9,0.9,0.25,1.6,5,379,28,52,7.8,0.67,0.44
601870C,116461,332592,1.4,1.9,9.5,50.4,0.18,2039,100,2.878,10.17,0.566,0.066,3.47,10.7,53.4,46.7,11.99,22.3,18.14,118,11.2,0.9,5.2,0.5,8.6,98.1,241.1,20.9,356.8,10.3,0.6,29.7,4.2,2.31,10.6,0.3,1.5,1.25,1.1,36.9,0.6,7.8,3.4,0.25,0.3,0.25,0.7,0.3,0.25,2,4,473,29,57,0.5,0.25,0.21
601871C,113467,336281,1.7,2.2,12.2,56.8,0.21,1866,100,3.41,3.85,0.67,0.586,7.27,10.6,70.7,67.3,24.42,23.7,15.31,127.8,13.6,0.5,5,0.6,20.5,115.6,154,21.8,525.5,12.4,0.9,36.3,2.6,1.39,14.7,0.6,1.1,1.25,0.6,45.4,0.9,10,3.3,0.25,0.25,0.25,1.7,0.2,0.25,6.6,3,658,35,73,0.5,0.25,0.26
